55.11811, 55.11811, 0,
0, 0, 0,
0, 55.11811, 0,
55.11811, 0, 0,
55.11811, 0, 0,
55.11811, 55.11811, 0,
0, 0, 0,
0, 55.11811, 0,
55.11811, 55.11811, 0,
55.11811, 0, 94.48819,
55.11811, 0, 0,
55.11811, 55.11811, 94.48819,
55.11811, 55.11811, 94.48819,
55.11811, 55.11811, 0,
55.11811, 0, 94.48819,
55.11811, 0, 0,
55.11811, 0, 94.48819,
0, 0, 0,
55.11811, 0, 0,
0, 0, 94.48819,
0, 0, 94.48819,
55.11811, 0, 94.48819,
0, 0, 0,
55.11811, 0, 0,
0, 55.11811, 94.48819,
0, 0, 0,
0, 0, 94.48819,
0, 55.11811, 0,
0, 55.11811, 0,
0, 55.11811, 94.48819,
0, 0, 0,
0, 0, 94.48819,
0, 55.11811, 94.48819,
55.11811, 55.11811, 0,
0, 55.11811, 0,
55.11811, 55.11811, 94.48819,
55.11811, 55.11811, 94.48819,
0, 55.11811, 94.48819,
55.11811, 55.11811, 0,
0, 55.11811, 0,
55.11811, 55.11811, 94.48819,
27.55906, 27.55906, 106.2992,
55.11811, 0, 94.48819,
55.11811, 0, 94.48819,
27.55906, 27.55906, 106.2992,
55.11811, 55.11811, 94.48819,
55.11811, 0, 94.48819,
27.55906, 27.55906, 106.2992,
0, 0, 94.48819,
0, 0, 94.48819,
27.55906, 27.55906, 106.2992,
55.11811, 0, 94.48819,
27.55906, 27.55906, 106.2992,
0, 55.11811, 94.48819,
0, 0, 94.48819,
0, 0, 94.48819,
0, 55.11811, 94.48819,
27.55906, 27.55906, 106.2992,
55.11811, 55.11811, 94.48819,
0, 55.11811, 94.48819,
27.55906, 27.55906, 106.2992,
27.55906, 27.55906, 106.2992,
0, 55.11811, 94.48819,
55.11811, 55.11811, 94.48819
